domain,name,n_nodes,n_edges,H_20,H_40,H_60,H_80,H_100,seal_entropy,seal_auc,adamic_adar_entropy,adamic_adar_auc,newly_included
Biological,Freshwater_stream_webs_Berwick,77,240,1.0209424083769634,0.9394904458598726,0.784,0.886735136698973,0.9276712909033148,0.6619441630532145,0.8967013888888888,0.8239676481502551,0.3309461805555554,True
Biological,Freshwater_stream_webs_Blackrock,86,375,0.8823529411764707,0.7583102493074791,0.7035695809622349,0.8254997298757428,0.8834193278482777,0.5628030233201454,0.9262222222222224,0.8897532480268346,0.4033777777777778,True
Biological,Freshwater_stream_webs_Broad,94,564,0.9029345372460498,0.8108108108108109,0.746966817716708,0.9276647539558336,0.9240812379110253,0.5134221894402999,0.9394929846938777,0.8272647453354689,0.2720025510204081,True
Biological,Freshwater_stream_webs_Canton,62,167,0.7301587301587301,0.6965174129353234,0.7142857142857143,0.7168657960544597,0.7778849244615879,0.4477259249766309,0.9623507805325988,0.6648209684025264,0.2272727272727273,True
Biological,Freshwater_stream_webs_Catlins,48,110,0.9420289855072465,1.0,0.7607209446861405,0.6904008438818566,0.9311424100156496,0.486649619109562,0.8966942148760331,0.7743445467630249,0.3398760330578512,True
Biological,Freshwater_stream_webs_Coweeta1,58,126,0.6369426751592357,0.8955223880597015,0.7745358090185677,0.8058353594998264,0.8519701810436635,0.4877400793933316,0.912,0.8344332128416931,0.5784,True
Biological,Freshwater_stream_webs_Coweeta17,71,148,0.7875457875457875,0.7091808686091259,0.7539984767707539,0.8041958041958043,0.7819478326139989,0.4598046296832113,0.8466111771700356,0.7859219112133653,0.5190249702734839,True
Biological,Freshwater_stream_webs_DempstersAu,83,414,0.8026315789473685,0.6977475117862755,0.8149316508937959,0.858034321372855,0.900336389420223,0.5635476457765782,0.9121058893515764,0.8099758830897273,0.3664485425342058,True
Biological,Freshwater_stream_webs_DempstersSp,93,538,0.7109448082319925,0.7659467604218986,0.779320987654321,0.8807821127908029,0.92956469165659,0.5601284246942807,0.9205170757271376,0.8535904308509685,0.3206830290855097,True
Biological,Freshwater_stream_webs_DempstersSu,107,965,0.8683926645091693,0.7914818101153505,0.7921059745877264,0.8888665695776629,0.8988593155893536,0.6017607360600019,0.9322397916722596,0.9111384675083736,0.4179709522403285,True
Biological,Freshwater_stream_webs_German,84,352,0.5607476635514018,0.6410614525139665,0.7649402390438247,0.7898466692436541,0.8733041737712209,0.5029819729999375,0.9228571428571428,0.8507776183081097,0.3912244897959184,True
Biological,Freshwater_stream_webs_Healy,96,634,0.896949152542373,0.8713010803193988,0.7895131086142322,0.8832275174797075,0.9181838122395262,0.5667374347254884,0.923721340388007,0.8981733714502373,0.3606072058453011,True
Biological,Freshwater_stream_webs_Kyeburn,98,629,0.7154605263157895,0.819949281487743,0.7817969661610269,0.8764614504128854,0.863259368622172,0.4908811520361669,0.930496,0.8894238491823334,0.407616,True
