domain,name,n_nodes,n_edges,method,level,value,coarsen_seconds,n_nodes_reduced,n_edges_reduced
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_edges,80,0.8505526897568165,4.561433333000011,780.0,1995.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_edges,60,0.85040071237756,2.692591957999994,585.0,1469.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_edges,40,0.8140456716360192,1.2767135840000066,390.0,845.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_edges,20,0.2164846077457795,0.3284951249999892,195.0,214.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_neighborhood,100,0.8079826154050702,0.0,3155.0,5648.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_neighborhood,80,0.7941832981467215,37.38005908300002,2525.0,4769.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_neighborhood,60,0.8227998144680558,22.68364529199999,1893.0,3803.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_neighborhood,40,0.9133164877379218,12.118273165999994,1262.0,3084.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_neighborhood,20,0.9048000369588988,4.195059917000009,632.0,1992.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_edges,100,0.8075601748878631,0.0,3155.0,5648.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_edges,80,0.8076603267783558,36.46055495799999,2524.0,4809.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_edges,60,0.8239384492747434,21.336228667,1893.0,3690.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_edges,40,0.7785972086599517,10.597368832999962,1262.0,2560.0
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,variation_edges,20,0.2432362122788761,2.2047461249999856,665.0,847.0
Social,Family_planning_in_Korea1,33,68,variation_neighborhood,100,0.7977707006369427,0.0,33.0,68.0
Social,Family_planning_in_Korea1,33,68,variation_neighborhood,80,0.8899876390605685,0.0162736670000072,28.0,45.0
Social,Family_planning_in_Korea1,33,68,variation_neighborhood,60,0.8936170212765957,0.0107964580000157,20.0,25.0
Social,Family_planning_in_Korea1,33,68,variation_neighborhood,40,0.8944954128440367,0.0108480840000311,15.0,17.0
Social,Family_planning_in_Korea1,33,68,variation_neighborhood,20,1.0,0.009277958000041,7.0,7.0
Social,Family_planning_in_Korea1,33,68,variation_edges,100,0.7938205585264408,0.0,33.0,68.0
Social,Family_planning_in_Korea1,33,68,variation_edges,80,0.914326853851692,0.0128425420000439,27.0,46.0
Social,Family_planning_in_Korea1,33,68,variation_edges,60,0.8868144690781796,0.0089848749999532,20.0,32.0
Social,Family_planning_in_Korea1,33,68,variation_edges,40,1.0389610389610389,0.0067294579999952,14.0,19.0
Social,Family_planning_in_Korea1,33,68,variation_edges,20,0.9852216748768472,0.0063252499999748,9.0,9.0
Social,Dolphin_social_network_Dolphins,62,159,variation_neighborhood,100,0.9103146558976948,0.0,62.0,159.0
Social,Dolphin_social_network_Dolphins,62,159,variation_neighborhood,80,0.9014810045074052,0.0405354579999652,50.0,134.0
Social,Dolphin_social_network_Dolphins,62,159,variation_neighborhood,60,0.8459448971672487,0.0257754590000445,38.0,79.0
Social,Dolphin_social_network_Dolphins,62,159,variation_neighborhood,40,0.88871096877502,0.0174240419999591,25.0,42.0
Social,Dolphin_social_network_Dolphins,62,159,variation_neighborhood,20,0.9448818897637796,0.0158747080000125,13.0,26.0
Social,Dolphin_social_network_Dolphins,62,159,variation_edges,100,0.9069572506286672,0.0,62.0,159.0
Social,Dolphin_social_network_Dolphins,62,159,variation_edges,80,0.8852071005917159,0.0348845419999861,50.0,119.0
Social,Dolphin_social_network_Dolphins,62,159,variation_edges,60,0.9082240762812872,0.0187960000000089,38.0,86.0
Social,Dolphin_social_network_Dolphins,62,159,variation_edges,40,0.9405568096313016,0.0142983750000098,25.0,47.0
Social,Dolphin_social_network_Dolphins,62,159,variation_edges,20,0.9181141439205956,0.0094663750000449,13.0,17.0
Social,Norwegian_Board_of_Directors_net1mode_2002-08-01,142,779,variation_neighborhood,100,0.3570042685292976,0.0,142.0,779.0
Social,Norwegian_Board_of_Directors_net1mode_2002-08-01,142,779,variation_neighborhood,80,0.4453992873611402,0.1736314169999673,114.0,447.0
