domain,name,n_nodes,n_edges,level,measure,value,auc
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,40,spectral_entropy,0.8915342867329556,
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,20,spectral_entropy,0.921316542268109,
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,100,adamic_adar_entropy,,0.533427734375
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,100,seal_entropy,0.7967928305901698,0.8631591796875
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,100,spectral_entropy,0.7135749397974008,
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,80,spectral_entropy,0.7039461829539312,
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,60,spectral_entropy,0.7348463446024422,
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,40,spectral_entropy,0.8701420989556582,
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,20,spectral_entropy,0.9409691629955949,
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,100,adamic_adar_entropy,12.65989050730363,0.5453333333333333
Biological,C_elegans_interactomes_2009_WI-2007,1108,1500,100,seal_entropy,0.7997865565561909,0.8721388888888888
Biological,C_elegans_interactomes_2009_WI8,2214,3538,100,spectral_entropy,0.7741649423588531,
Biological,C_elegans_interactomes_2009_WI8,2214,3538,80,spectral_entropy,0.7672576451868147,
Biological,C_elegans_interactomes_2009_WI8,2214,3538,60,spectral_entropy,0.8233562103531145,
Biological,C_elegans_interactomes_2009_WI8,2214,3538,40,spectral_entropy,0.9046987029585466,
Biological,C_elegans_interactomes_2009_WI8,2214,3538,20,spectral_entropy,0.9403825776588032,
Biological,C_elegans_interactomes_2009_WI8,2214,3538,100,adamic_adar_entropy,17.593176137438302,0.5416215697140536
Biological,C_elegans_interactomes_2009_WI8,2214,3538,100,seal_entropy,0.8080832372328842,0.8829826607635506
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,100,spectral_entropy,0.9028102293447684,
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,80,spectral_entropy,0.8527636554884921,
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,60,spectral_entropy,0.7952619338562813,
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,40,spectral_entropy,0.7932362734216883,
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,20,spectral_entropy,0.8754567600487211,
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,100,adamic_adar_entropy,1.8309547600408675,0.8350992441901532
Biological,C_elegans_neurons_1986_C_elegans_Metabolic,297,2148,100,seal_entropy,0.7674013793412277,0.8910460169201428
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,100,spectral_entropy,0.9313392250169952,
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,80,spectral_entropy,0.8936896632917354,
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,60,spectral_entropy,0.8531219105588618,
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,40,spectral_entropy,0.8628519527702089,
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,20,spectral_entropy,0.8769589863287763,
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,100,adamic_adar_entropy,1.591097801368935,0.8512154714650297
Biological,C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1,279,2287,100,seal_entropy,0.7500040926025489,0.8832314255754157
